area_code,area_name,period,indicator,measure,units,value
E08000009,Trafford,February 2022,Claimant count,Count,Persons,4990
E08000009,Trafford,February 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.4
E92000001,England,March 2022,Claimant count,Count,Persons,1477445
E92000001,England,March 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.2
E06000030,Swindon,March 2022,Claimant count,Count,Persons,5330
E06000030,Swindon,March 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.6
E06000007,Warrington,March 2022,Claimant count,Count,Persons,4275
E06000007,Warrington,March 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.2
E06000042,Milton Keynes,March 2022,Claimant count,Count,Persons,6870
E06000042,Milton Keynes,March 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.7
E08000029,Solihull,March 2022,Claimant count,Count,Persons,4850
E08000029,Solihull,March 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.8
E06000025,South Gloucestershire,March 2022,Claimant count,Count,Persons,3645
E06000025,South Gloucestershire,March 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2
E08000007,Stockport,March 2022,Claimant count,Count,Persons,6785
E08000007,Stockport,March 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.8
E06000020,Telford and Wrekin,March 2022,Claimant count,Count,Persons,4645
E06000020,Telford and Wrekin,March 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4
E06000055,Bedford,March 2022,Claimant count,Count,Persons,4900
E06000055,Bedford,March 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.2
E06000050,Cheshire West and Chester,March 2022,Claimant count,Count,Persons,6260
E06000050,Cheshire West and Chester,March 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.8
E08000002,Bury,March 2022,Claimant count,Count,Persons,5575
E08000002,Bury,March 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.7
E06000015,Derby,March 2022,Claimant count,Count,Persons,8310
E06000015,Derby,March 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,5
E06000031,Peterborough,March 2022,Claimant count,Count,Persons,7170
E06000031,Peterborough,March 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,5.2
E06000004,Stockton-on-Tees,March 2022,Claimant count,Count,Persons,5525
E06000004,Stockton-on-Tees,March 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.6
E06000006,Halton,March 2022,Claimant count,Count,Persons,3670
E06000006,Halton,March 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.6
E08000009,Trafford,March 2022,Claimant count,Count,Persons,4895
E08000009,Trafford,March 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.4
E92000001,England,April 2022,Claimant count,Count,Persons,1405800
E92000001,England,April 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.9
E06000030,Swindon,April 2022,Claimant count,Count,Persons,5000
E06000030,Swindon,April 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.3
E06000007,Warrington,April 2022,Claimant count,Count,Persons,4025
E06000007,Warrington,April 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3
E06000042,Milton Keynes,April 2022,Claimant count,Count,Persons,6625
E06000042,Milton Keynes,April 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.6
E08000029,Solihull,April 2022,Claimant count,Count,Persons,4690
E08000029,Solihull,April 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.6
E06000025,South Gloucestershire,April 2022,Claimant count,Count,Persons,3355
E06000025,South Gloucestershire,April 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,1.8
E08000007,Stockport,April 2022,Claimant count,Count,Persons,6465
E08000007,Stockport,April 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.6
E06000020,Telford and Wrekin,April 2022,Claimant count,Count,Persons,4325
E06000020,Telford and Wrekin,April 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.7
E06000055,Bedford,April 2022,Claimant count,Count,Persons,4660
E06000055,Bedford,April 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4
E06000050,Cheshire West and Chester,April 2022,Claimant count,Count,Persons,5800
E06000050,Cheshire West and Chester,April 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.6
E08000002,Bury,April 2022,Claimant count,Count,Persons,5405
E08000002,Bury,April 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.5
E06000015,Derby,April 2022,Claimant count,Count,Persons,8015
E06000015,Derby,April 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.8
E06000031,Peterborough,April 2022,Claimant count,Count,Persons,6765
E06000031,Peterborough,April 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.9
E06000004,Stockton-on-Tees,April 2022,Claimant count,Count,Persons,5250
E06000004,Stockton-on-Tees,April 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.3
E06000006,Halton,April 2022,Claimant count,Count,Persons,3510
E06000006,Halton,April 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.4
E08000009,Trafford,April 2022,Claimant count,Count,Persons,4660
E08000009,Trafford,April 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.2
E92000001,England,May 2022,Claimant count,Count,Persons,1364815
E92000001,England,May 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.8
E06000030,Swindon,May 2022,Claimant count,Count,Persons,4730
E06000030,Swindon,May 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.2
E06000007,Warrington,May 2022,Claimant count,Count,Persons,3880
E06000007,Warrington,May 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.9
E06000042,Milton Keynes,May 2022,Claimant count,Count,Persons,6495
E06000042,Milton Keynes,May 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.5
E08000029,Solihull,May 2022,Claimant count,Count,Persons,4505
E08000029,Solihull,May 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.5
E06000025,South Gloucestershire,May 2022,Claimant count,Count,Persons,3300
E06000025,South Gloucestershire,May 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,1.8
E08000007,Stockport,May 2022,Claimant count,Count,Persons,6335
E08000007,Stockport,May 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.5
E06000020,Telford and Wrekin,May 2022,Claimant count,Count,Persons,4220
E06000020,Telford and Wrekin,May 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.6
E06000055,Bedford,May 2022,Claimant count,Count,Persons,4520
E06000055,Bedford,May 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.8
E06000050,Cheshire West and Chester,May 2022,Claimant count,Count,Persons,5705
E06000050,Cheshire West and Chester,May 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.6
E08000002,Bury,May 2022,Claimant count,Count,Persons,5260
E08000002,Bury,May 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.4
E06000015,Derby,May 2022,Claimant count,Count,Persons,7745
E06000015,Derby,May 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.7
E06000031,Peterborough,May 2022,Claimant count,Count,Persons,6680
E06000031,Peterborough,May 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.9
E06000004,Stockton-on-Tees,May 2022,Claimant count,Count,Persons,5175
E06000004,Stockton-on-Tees,May 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.3
E06000006,Halton,May 2022,Claimant count,Count,Persons,3420
E06000006,Halton,May 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.3
E08000009,Trafford,May 2022,Claimant count,Count,Persons,4520
E08000009,Trafford,May 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.1
E92000001,England,June 2022,Claimant count,Count,Persons,1335760
E92000001,England,June 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.8
E06000030,Swindon,June 2022,Claimant count,Count,Persons,4610
E06000030,Swindon,June 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.1
E06000007,Warrington,June 2022,Claimant count,Count,Persons,3700
E06000007,Warrington,June 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.8
E06000042,Milton Keynes,June 2022,Claimant count,Count,Persons,6365
E06000042,Milton Keynes,June 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.4
E08000029,Solihull,June 2022,Claimant count,Count,Persons,4380
E08000029,Solihull,June 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.4
E06000025,South Gloucestershire,June 2022,Claimant count,Count,Persons,3210
E06000025,South Gloucestershire,June 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,1.8
E08000007,Stockport,June 2022,Claimant count,Count,Persons,6225
E08000007,Stockport,June 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.5
E06000020,Telford and Wrekin,June 2022,Claimant count,Count,Persons,4160
E06000020,Telford and Wrekin,June 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.6
E06000055,Bedford,June 2022,Claimant count,Count,Persons,4390
E06000055,Bedford,June 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.7
E06000050,Cheshire West and Chester,June 2022,Claimant count,Count,Persons,5630
E06000050,Cheshire West and Chester,June 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.6
E08000002,Bury,June 2022,Claimant count,Count,Persons,5220
E08000002,Bury,June 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.4
E06000015,Derby,June 2022,Claimant count,Count,Persons,7620
E06000015,Derby,June 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.6
E06000031,Peterborough,June 2022,Claimant count,Count,Persons,6555
E06000031,Peterborough,June 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.8
E06000004,Stockton-on-Tees,June 2022,Claimant count,Count,Persons,5005
E06000004,Stockton-on-Tees,June 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.1
E06000006,Halton,June 2022,Claimant count,Count,Persons,3350
E06000006,Halton,June 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.2
E08000009,Trafford,June 2022,Claimant count,Count,Persons,4520
E08000009,Trafford,June 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.1
E92000001,England,July 2022,Claimant count,Count,Persons,1311605
E92000001,England,July 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.7
E06000030,Swindon,July 2022,Claimant count,Count,Persons,4455
E06000030,Swindon,July 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3
E06000007,Warrington,July 2022,Claimant count,Count,Persons,3630
E06000007,Warrington,July 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.7
E06000042,Milton Keynes,July 2022,Claimant count,Count,Persons,6210
E06000042,Milton Keynes,July 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.3
E08000029,Solihull,July 2022,Claimant count,Count,Persons,4350
E08000029,Solihull,July 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.4
E06000025,South Gloucestershire,July 2022,Claimant count,Count,Persons,3145
E06000025,South Gloucestershire,July 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,1.7
E08000007,Stockport,July 2022,Claimant count,Count,Persons,6105
E08000007,Stockport,July 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.4
E06000020,Telford and Wrekin,July 2022,Claimant count,Count,Persons,4060
E06000020,Telford and Wrekin,July 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.5
E06000055,Bedford,July 2022,Claimant count,Count,Persons,4285
E06000055,Bedford,July 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.7
E06000050,Cheshire West and Chester,July 2022,Claimant count,Count,Persons,5605
E06000050,Cheshire West and Chester,July 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.5
E08000002,Bury,July 2022,Claimant count,Count,Persons,5130
E08000002,Bury,July 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.3
E06000015,Derby,July 2022,Claimant count,Count,Persons,7535
E06000015,Derby,July 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.5
E06000031,Peterborough,July 2022,Claimant count,Count,Persons,6500
E06000031,Peterborough,July 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.7
E06000004,Stockton-on-Tees,July 2022,Claimant count,Count,Persons,4965
E06000004,Stockton-on-Tees,July 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.1
E06000006,Halton,July 2022,Claimant count,Count,Persons,3370
E06000006,Halton,July 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.2
E08000009,Trafford,July 2022,Claimant count,Count,Persons,4435
E08000009,Trafford,July 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.1
E92000001,England,August 2022,Claimant count,Count,Persons,1307840
E92000001,England,August 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.7
E06000030,Swindon,August 2022,Claimant count,Count,Persons,4430
E06000030,Swindon,August 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.9
E06000007,Warrington,August 2022,Claimant count,Count,Persons,3550
E06000007,Warrington,August 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.7
E06000042,Milton Keynes,August 2022,Claimant count,Count,Persons,6190
E06000042,Milton Keynes,August 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.3
E08000029,Solihull,August 2022,Claimant count,Count,Persons,4205
E08000029,Solihull,August 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.3
E06000025,South Gloucestershire,August 2022,Claimant count,Count,Persons,3165
E06000025,South Gloucestershire,August 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,1.7
E08000007,Stockport,August 2022,Claimant count,Count,Persons,6155
E08000007,Stockport,August 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.4
E06000020,Telford and Wrekin,August 2022,Claimant count,Count,Persons,4060
E06000020,Telford and Wrekin,August 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.5
E06000055,Bedford,August 2022,Claimant count,Count,Persons,4300
E06000055,Bedford,August 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.7
E06000050,Cheshire West and Chester,August 2022,Claimant count,Count,Persons,5615
E06000050,Cheshire West and Chester,August 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.6
E08000002,Bury,August 2022,Claimant count,Count,Persons,5115
E08000002,Bury,August 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.3
E06000015,Derby,August 2022,Claimant count,Count,Persons,7585
E06000015,Derby,August 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.6
E06000031,Peterborough,August 2022,Claimant count,Count,Persons,6475
E06000031,Peterborough,August 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.7
E06000004,Stockton-on-Tees,August 2022,Claimant count,Count,Persons,5050
E06000004,Stockton-on-Tees,August 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.2
E06000006,Halton,August 2022,Claimant count,Count,Persons,3405
E06000006,Halton,August 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.3
E08000009,Trafford,August 2022,Claimant count,Count,Persons,4445
E08000009,Trafford,August 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.1
E92000001,England,September 2022,Claimant count,Count,Persons,1302410
E92000001,England,September 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.7
E06000030,Swindon,September 2022,Claimant count,Count,Persons,4515
E06000030,Swindon,September 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3
E06000007,Warrington,September 2022,Claimant count,Count,Persons,3500
E06000007,Warrington,September 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.6
E06000042,Milton Keynes,September 2022,Claimant count,Count,Persons,6280
E06000042,Milton Keynes,September 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.4
E08000029,Solihull,September 2022,Claimant count,Count,Persons,4170
E08000029,Solihull,September 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.2
E06000025,South Gloucestershire,September 2022,Claimant count,Count,Persons,3120
E06000025,South Gloucestershire,September 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,1.7
E08000007,Stockport,September 2022,Claimant count,Count,Persons,6065
E08000007,Stockport,September 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.4
E06000020,Telford and Wrekin,September 2022,Claimant count,Count,Persons,4060
E06000020,Telford and Wrekin,September 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.5
E06000055,Bedford,September 2022,Claimant count,Count,Persons,4305
E06000055,Bedford,September 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.7
E06000050,Cheshire West and Chester,September 2022,Claimant count,Count,Persons,5675
E06000050,Cheshire West and Chester,September 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.6
E08000002,Bury,September 2022,Claimant count,Count,Persons,5110
E08000002,Bury,September 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.3
E06000015,Derby,September 2022,Claimant count,Count,Persons,7470
E06000015,Derby,September 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.5
E06000031,Peterborough,September 2022,Claimant count,Count,Persons,6430
E06000031,Peterborough,September 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.7
E06000004,Stockton-on-Tees,September 2022,Claimant count,Count,Persons,5040
E06000004,Stockton-on-Tees,September 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.2
E06000006,Halton,September 2022,Claimant count,Count,Persons,3415
E06000006,Halton,September 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.3
E08000009,Trafford,September 2022,Claimant count,Count,Persons,4425
E08000009,Trafford,September 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3
E92000001,England,October 2022,Claimant count,Count,Persons,1285635
E92000001,England,October 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.6
E06000030,Swindon,October 2022,Claimant count,Count,Persons,4510
E06000030,Swindon,October 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3
E06000007,Warrington,October 2022,Claimant count,Count,Persons,3325
E06000007,Warrington,October 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.5
E06000042,Milton Keynes,October 2022,Claimant count,Count,Persons,6275
E06000042,Milton Keynes,October 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.4
E08000029,Solihull,October 2022,Claimant count,Count,Persons,4035
E08000029,Solihull,October 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.1
E06000025,South Gloucestershire,October 2022,Claimant count,Count,Persons,3090
E06000025,South Gloucestershire,October 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,1.7
E08000007,Stockport,October 2022,Claimant count,Count,Persons,6020
E08000007,Stockport,October 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.3
E06000020,Telford and Wrekin,October 2022,Claimant count,Count,Persons,3915
E06000020,Telford and Wrekin,October 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.4
E06000055,Bedford,October 2022,Claimant count,Count,Persons,4245
E06000055,Bedford,October 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.6
E06000050,Cheshire West and Chester,October 2022,Claimant count,Count,Persons,5610
E06000050,Cheshire West and Chester,October 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.6
E08000002,Bury,October 2022,Claimant count,Count,Persons,5050
E08000002,Bury,October 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.2
E06000015,Derby,October 2022,Claimant count,Count,Persons,7345
E06000015,Derby,October 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.4
E06000031,Peterborough,October 2022,Claimant count,Count,Persons,6355
E06000031,Peterborough,October 2022,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.6
E06000004,Stockton-on-Tees,October 2022,Claimant count,Count,Persons,4890
